nome_conta,Date,nome_campanha,tipo_rede_ad,impressoes,cliques,interacoes,conversoes,valor_conversoes,investido
Intelbras - Redes (A7B),2022-12-05,[REDES - HOME-OFFICE] TRÁFEGO (search) - Wi-Force W5 1200 G,SEARCH,12155.0,960.5,960.5,68.0,68.0,357.17
Intelbras - E-commerce (A7B),2022-12-05,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Lâmpada Inteligente - Casa Inteligente - 06/2022,MIXED,13917.5,366.0,368.5,5.05,5.05,181.3192555
Intelbras - E-commerce (A7B),2022-12-05,[E-Commerce] Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,1417.0,12.5,12.5,0.0,0.0,9.285
Intelbras - Redes (A7B),2022-12-05,[REDES - FIBRA-ÓPTICA] TRÁFEGO (search) - Fibra Óptica,SEARCH,25109.0,824.5,824.5,41.139999999999993,41.139999999999993,1457.41
Intelbras - Redes (A7B),2022-12-05,[REDES - CAB-ESTRUT] TRÁFEGO (search) - Cabos e passivos,SEARCH,7063.5,280.5,280.5,17.0,17.0,387.6
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Leads (Search) - Simulador Solar,SEARCH,89700.5,6740.5,6740.5,1887.9350000000013,1887.9350000000013,10477.61
Intelbras - Segurança (A7B),2022-12-05,[SEG - AS] Leads (Search) - Série 8000,SEARCH,21488.0,1419.5,1419.5,76.5,76.5,822.375
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Remarketing (Display) - Telegram Solar,CONTENT,4672.0,136.0,136.0,20.0,20.0,115.301176
Intelbras - Segurança (A7B),2022-12-05,[SEG - AS] Leads (Search) - Série 8000,CONTENT,348.5,68.0,68.0,0.0,0.0,7.5702785
Intelbras - Segurança (A7B),2022-12-05,[SEG - TMR] Remarketing (Display) - Micro SD,CONTENT,30243.0,178.5,178.5,0.0,0.0,409.8357195
Intelbras - Solução Grandes Empresas (A7B),2022-12-05,AT - Soluções Agro - Reconhecimento de Marca,CONTENT,968626.0,1173.0,1173.0,0.0,0.0,677.9945695
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Reconhecimento (Bumper) - Simulador Solar,YOUTUBE_WATCH,569585.0,34.0,34.0,0.0,0.0,1279.2828695
Intelbras - Segurança (A7B),2022-12-05,[SEG - CFTVIP] Visualizações nos Vídeos (In-feed) - CFTV IP Live,YOUTUBE_SEARCH,772.5,0.0,22.5,0.0,0.0,1.05
Intelbras - E-commerce (A7B),2022-12-05,[E-COMMERCE] Institucional - Conversão,SEARCH,387778.5,30804.0,30804.0,238.42499999999981,238.42499999999981,6888.23
Intelbras - Controle de Acesso (A7B),2022-12-05,[CONT-ACESS - EMP-CORP] CONVERSÕES (pmax) - Linha de Faciais,MIXED,30685.0,5278.5,5278.5,357.0,357.0,4695.658757
Intelbras - Comunicação (A7B),2022-12-05,[CM - EC] Conversão (PMAX) - Wide Chat,MIXED,4811.0,544.0,569.5,42.5,42.5,697.2641035
Intelbras - E-commerce (A7B),2022-12-05,PMax: Soluções Residenciais - Smart Shopping - Lâmpada Inteligente - Casa Inteligente - 06/2022,MIXED,222680.0,5856.0,5896.0,80.799999999999955,80.799999999999955,2901.108088
Intelbras - E-commerce (A7B),2022-12-05,PMax: Soluções Residenciais - Smart Shopping - Casa Inteligente - Demais Produtos - 06/2022,MIXED,248144.0,3456.0,3456.0,67.920000000000059,67.920000000000059,3381.264392
Intelbras - E-commerce (A7B),2022-12-05,[E-COMMERCE] PMax Residências - Venda,MIXED,321716.5,3451.0,3451.0,365.15999999999997,365.15999999999997,1444.235
Intelbras - Redes (A7B),2022-12-05,[REDES - FIBRA-ÓPTICA] TRÁFEGO (display) - Fibra Óptica,CONTENT,1504.5,102.0,102.0,34.0,34.0,323.0
Intelbras - Segurança (A7B),2022-12-04,[SEG - TMR] Tráfego (Search) - BodyCam,SEARCH,4267.0,229.5,229.5,8.5,8.5,166.685
Intelbras - Segurança (A7B),2022-12-04,[SEG - AS] Leads (Search) - Série 8000,SEARCH,23995.5,1411.0,1411.0,17.0,17.0,893.01
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Leads (Search) - SeP Grandes Empresas,SEARCH,824.5,51.0,51.0,0.0,0.0,151.555
Intelbras - Redes (A7B),2022-12-04,[REDES - FIBRA-ÓPTICA] TRÁFEGO (search) - Fibra Óptica,SEARCH,27735.5,799.0,799.0,25.5,25.5,1570.29
